,ID,Lista Amenities
74,52360380,"['Secador de pelo', 'Champú', 'Agua caliente', 'Perchas', 'Ropa de cama', 'Almohadas y mantas adicionales', 'Plancha', 'TV', 'Cuna', 'Aire acondicionado', 'Calefacción', 'Cámaras de seguridad en los exteriores de la propiedadEn la entrada del edificio', 'Detector de humo', 'Wifi', 'Zona para trabajar', 'Cafetera', 'Patio o balcón', 'AscensorEl alojamiento o edificio dispone de un ascensor de al menos 132\xa0centímetros de profundidad cuya puerta mide como mínimo 81\xa0centímetros de ancho.', 'Aparcamiento de pago fuera de las instalaciones', 'Se permite dejar el equipajeOpción de llegar pronto o salir tarde para la comodidad de los huéspedes', 'No disponible: CocinaCocina', 'No disponible: LavadoraLavadora', 'No disponible: Servicios básicosServicios básicos', 'No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoEs posible que este espacio no tenga un detector de monóxido de carbono. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: Entrada independienteEntrada independiente']"
75,21653693,
76,39719348,"['Secador de pelo', 'Productos de limpieza', 'Champú', 'Gel de ducha', 'Agua caliente', 'Gel de ducha', 'Lavadora', 'Secadora', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de cama', 'Almohadas y mantas adicionales', 'Persianas o cortinas opacas', 'Plancha', 'Tendedero para ropa', 'Espacio para guardar la ropa: ropero', 'TV', 'Aire acondicionado', 'Ventilador de techo', 'Ventiladores portátiles', 'Calefacción', 'Detector de humo', 'Detector de monóxido de carbono', 'Wifi', 'Zona para trabajarEn una zona común', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Congelador', 'Fogón', 'Horno', 'Hervidor de agua', 'Cafetera: cafetera de filtro, Nespresso', 'Copas de vino', 'Tostadora', 'Bandeja de repostería', 'Mesa de comedor', 'Café', 'Acceso compartido a la playaLos huéspedes pueden disfrutar de una playa cercana', 'Patio o balcón (privada)', 'Aparcamiento de pago fuera de la propiedad', 'DesayunoDesayuno incluido', 'Disponible para estancias largasPermite estancias de 28 días o más', 'Limpieza disponible durante la estancia']"
77,2069105,"['Secador de pelo', 'Agua caliente', 'Lavadora', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de cama', 'Plancha', 'Tendedero para ropa', 'TV', 'Aire acondicionado', 'Calefacción', 'Cámaras de seguridad en los exteriores de la propiedadA camera monitors the building door. Two SECURITAS security camera that is connected to the alarm system inside the apartment. The camera is covered not active when the apartment is rented out monitores door and window. Our apartment has a noise measurement equipment located in the living room.', 'Wifi', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Frigorífico mini', 'Hervidor de agua', 'Cafetera', 'Mesa de comedor', 'Patio o balcón', 'Llegada autónoma', 'Cerradura inteligente', 'No disponible: Detector de humoDetector de humoEs posible que este espacio no tenga un detector de humo. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoEs posible que este espacio no tenga un detector de monóxido de carbono. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: ChampúChampú', 'No disponible: Entrada independienteEntrada independiente']"
78,743612,
79,1113106280885491432,
80,1136030647689014350,"['Secador de pelo', 'Productos de limpieza', 'Gel de ducha', 'Bidé', 'Agua caliente', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de cama', 'Almohadas y mantas adicionales', 'Persianas o cortinas opacas', 'Plancha', 'Espacio para guardar la ropa: armario', 'Recomendaciones de canguros', 'Aire acondicionado centralizado', 'Aire acondicionado portátil', 'Calefacción central', 'Calefactor portátil', 'Monitores de decibelios en la propiedad', 'Cámaras de seguridad en los exteriores de la propiedadEn los espacios comunes', 'Detector de humo', 'Detector de monóxido de carbono', 'Botiquín', 'Wifi', 'Zona para trabajarEn una zona común con monitor y soporte para portátiles', 'Aparcamiento gratuito en la calle', 'Alojamiento de una alturaAlojamiento sin escaleras', 'Admite mascotasLos animales de asistencia siempre están permitidos', 'Se permite dejar el equipajeOpción de llegar pronto o salir tarde para la comodidad de los huéspedes', 'Disponible para estancias largasPermite estancias de 28 días o más', 'No disponible: Cerradura en la puerta del dormitorioCerradura en la puerta del dormitorioLa puerta del dormitorio no tiene cerradura.', 'No disponible: CocinaCocina', 'No disponible: TVTV', 'No disponible: LavadoraLavadora', 'No disponible: SecadoraSecadora']"
81,1505984,
82,1126613779447054663,
83,49680586,
84,8823241,
85,17690720,
86,1116456100784807861,
87,882976817180362322,"['Secador de pelo', 'Productos de limpieza', 'Champú', 'Acondicionador', 'Gel de ducha', 'Bidé', 'Agua caliente', 'Gel de ducha', 'Lavadora', 'Secadora en el alojamiento (Gratis)', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de camaRopa de cama de algodón', 'Almohadas y mantas adicionales', 'Persianas o cortinas opacas', 'Plancha', 'Tendedero para ropa', 'Espacio para guardar la ropa: armario', 'TV', 'Libros y material de lectura', 'Aire acondicionado', 'Ventiladores portátiles', 'Calefacción central', 'Monitores de decibelios en la propiedad', 'Cámaras de seguridad en los exteriores de la propiedadThere is one external security camera on the street.', 'Detector de humo', 'Detector de monóxido de carbono', 'Extintor de incendios', 'Wifi', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Congelador', 'Cocina eléctrica', 'Horno', 'Hervidor de agua', 'Cafetera', 'Copas de vino', 'Tostadora', 'Mesa de comedor', 'Café', 'Patio o balcón (Compartida)', 'Comedor al aire libre', 'AscensorEl alojamiento o edificio dispone de un ascensor de al menos 132\xa0centímetros de profundidad cuya puerta mide como mínimo 81\xa0centímetros de ancho.', 'Aparcamiento de pago fuera de las instalaciones', 'Se permite dejar el equipajeOpción de llegar pronto o salir tarde para la comodidad de los huéspedes', 'Disponible para estancias largasPermite estancias de 28 días o más', 'No disponible: Cerradura en la puerta del dormitorioCerradura en la puerta del dormitorioLa puerta del dormitorio no tiene cerradura.']"
