,ID,Tipo de habitación,Título,Tipología,Ciudad,Localización,Municipio,Precio por noche Agosto,Precio por noche Octubre,Precio Medio,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos,Distancia a PI
127,942413375575081001,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.43277,-3.67177",Madrid,,,,,,1.0,1,1.0,,3.214
128,1138921119288365017,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.42597,-3.70452",Madrid,,,,,1.0,1.0,1,,2.0,1.009
129,15995740,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.4432,-3.6323",Madrid,32.0,32.0,32.0,4.71,160.0,1.0,1,3.0,,6.7
130,22245868,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.4289,-3.6643",Madrid,99.0,122.0,110.0,4.67,165.0,2.0,1,2.0,4.0,3.578
131,616530063987425028,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.4499,-3.69943",Madrid,112.0,156.0,134.0,4.68,63.0,1.0,1,1.0,4.0,3.683
132,36307744,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.38109,-3.67054",Madrid,21.0,21.0,21.0,4.75,53.0,1.0,1,1.0,,4.867
133,1125905248035721189,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.4094,-3.7126",Madrid,93.0,152.0,122.0,,2.0,1.0,1,1.0,2.0,1.136
134,944795255722687936,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.39134,-3.701578",Madrid,92.0,107.0,100.0,4.72,18.0,1.0,1,1.0,4.0,2.85
135,1133229106461886931,"Habitación en San Fernando de Henares, España",Habitación,Habitación,Madrid,"40.427987,-3.529481",San Fernando de Henares,27.0,27.0,27.0,,,1.0,1,,,14.785
136,44054491,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.4283,-3.66403",Madrid,183.0,183.0,183.0,4.77,216.0,2.0,1,3.0,4.0,3.575
137,807144510992300934,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.418859,-3.703488",Madrid,,,,4.62,60.0,1.0,1,1.0,,0.215
138,934866660466727278,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.3681,-3.6908",Madrid,30.0,30.0,30.0,,,1.0,1,1.0,,5.535
139,12008311,"Alojamiento entero: apartamento con servicios en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.3856,-3.7033",Madrid,,,,,,1.0,1,1.0,2.0,3.484
